fighter_1,fighter_2,result,event,event_date,event_year,f1_age,f1_avg_body_landed,f1_avg_clinch_landed,f1_avg_ground_landed,f1_avg_leg_landed,f1_avg_opp_elo_of_losses,f1_avg_sig_str_landed,f1_avg_sig_str_received,f1_avg_sub_attempts,f1_avg_td_landed,f1_avg_td_received,f1_chin_damage_score,f1_ctrl_time_differential,f1_days_inactive,f1_dec_rate,f1_elo,f1_exp_ratio,f1_finish_rate,f1_kd_differential,f1_ko_rate,f1_lose_streak,f1_momentum,f1_recent_damage_trend,f1_recent_opp_elo,f1_recent_win_rate,f1_sig_str_accuracy,f1_sig_str_defense,f1_southpaw,f1_sub_rate,f1_td_accuracy,f1_td_defense,f1_total_fights,f1_win_rate,f1_win_streak,f2_age,f2_avg_body_landed,f2_avg_clinch_landed,f2_avg_ground_landed,f2_avg_leg_landed,f2_avg_opp_elo_of_losses,f2_avg_sig_str_landed,f2_avg_sig_str_received,f2_avg_sub_attempts,f2_avg_td_landed,f2_avg_td_received,f2_chin_damage_score,f2_ctrl_time_differential,f2_days_inactive,f2_dec_rate,f2_elo,f2_exp_ratio,f2_finish_rate,f2_kd_differential,f2_ko_rate,f2_lose_streak,f2_momentum,f2_recent_damage_trend,f2_recent_opp_elo,f2_recent_win_rate,f2_sig_str_accuracy,f2_sig_str_defense,f2_southpaw,f2_sub_rate,f2_td_accuracy,f2_td_defense,f2_total_fights,f2_win_rate,f2_win_streak,delta_age,delta_avg_body_landed,delta_avg_clinch_landed,delta_avg_ground_landed,delta_avg_leg_landed,delta_avg_opp_elo_of_losses,delta_avg_sig_str_landed,delta_avg_sig_str_received,delta_avg_sub_attempts,delta_avg_td_landed,delta_avg_td_received,delta_chin_damage_score,delta_ctrl_time_differential,delta_days_inactive,delta_dec_rate,delta_elo,delta_exp_ratio,delta_finish_rate,delta_kd_differential,delta_ko_rate,delta_lose_streak,delta_momentum,delta_recent_damage_trend,delta_recent_opp_elo,delta_recent_win_rate,delta_sig_str_accuracy,delta_sig_str_defense,delta_southpaw,delta_sub_rate,delta_td_accuracy,delta_td_defense,delta_total_fights,delta_win_rate,delta_win_streak
Junior Dos Santos,Gilbert Yvel,1,UFC 108: Evans vs Silva,2010-01-02,2010,25.924709103353866,14.0,6.666666666666667,2.0,1.6666666666666667,1500.0,29.666666666666668,9.333333333333334,0.0,0.0,0.0,0.0,11.666666666666664,105.0,0.0,1558.0936065246522,0.21428571428571427,1.0,1.0,1.0,0,0.0,0.0,1583.012152175207,1.0,0.478494623655914,0.5,0.0,0.0,0.0,1.0,3,1.0,3,33.50855578370979,0.9090909090909091,0.9090909090909091,1.5454545454545454,0.45454545454545453,1571.5359072221568,4.7272727272727275,9.363636363636363,0.18181818181818182,0.0,2.3636363636363638,1.0610614677708348,0.0,343.0,0.0,1426.446086376466,0.7857142857142857,1.0,0.0,1.0,1,0.018181818181818188,1.0647249190938513,1530.8456243197847,0.2,0.4642857142857143,0.507177033492823,0.0,0.0,0.0,0.23529411764705888,11,0.18181818181818182,0,-7.583846680355922,13.090909090909092,5.757575757575758,0.4545454545454546,1.2121212121212122,-71.53590722215677,24.93939393939394,-0.030303030303029388,-0.18181818181818182,0.0,-2.3636363636363638,-1.0610614677708348,11.666666666666664,-238,0.0,131.64752014818623,-0.5714285714285714,0.0,1.0,0.0,-1,-0.018181818181818188,-1.0647249190938513,52.166527855422146,0.8,0.014208909370199696,-0.0071770334928229484,0.0,0.0,0.0,0.7647058823529411,-8,0.8181818181818181,3
Dan Lauzon,Cole Miller,0,UFC 108: Evans vs Silva,2010-01-02,2010,21.760438056125942,0.0,0.5,3.5,0.5,1529.2221706732287,5.0,17.0,2.5,1.0,0.5,1.8378378378378377,103.0,343.0,0.0,1502.0171659289067,0.25,1.0,-0.5,0.0,0,0.0,0.0,1514.6110853366145,0.5,0.21739130434782608,0.5526315789473684,0.0,1.0,0.2857142857142857,0.5,2,0.5,1,25.686516084873375,3.0,1.8333333333333333,6.333333333333333,1.1666666666666667,1508.3797197886445,14.666666666666666,19.166666666666668,2.6666666666666665,0.3333333333333333,0.8333333333333334,1.5549076773566572,46.33333333333333,105.0,0.25,1527.9686000445072,0.75,0.75,-0.16666666666666666,0.25,1,-0.06666666666666665,0.13043478260869557,1509.7769629410152,0.6,0.27586206896551724,0.555984555984556,0.0,0.5,0.4,0.375,6,0.6666666666666666,0,-3.9260780287474333,-3.0,-1.3333333333333333,-2.833333333333333,-0.6666666666666667,20.842450884584196,-9.666666666666666,-2.166666666666668,-0.16666666666666652,0.6666666666666667,-0.33333333333333337,0.28293016048118047,56.66666666666667,238,-0.25,-25.951434115600478,-0.5,0.25,-0.33333333333333337,-0.25,-1,0.06666666666666665,-0.13043478260869557,4.834122395599252,-0.09999999999999998,-0.05847076461769116,-0.003352977037187621,0.0,0.5,-0.11428571428571432,0.125,-4,-0.16666666666666663,1
Jacob Volkmann,Martin Kampmann,0,UFC 108: Evans vs Silva,2010-01-02,2010,29.32511978097194,2.0,6.0,8.0,3.0,1509.165385810896,16.0,34.0,1.0,1.0,2.0,2.0,6.0,42.0,0.0,1484.4219837318076,0.1,0.0,-2.0,0.0,1,0.0,0.0,1509.165385810896,0.0,0.42105263157894735,0.5584415584415585,1.0,0.0,0.25,0.5,1,0.0,0,27.71252566735113,4.111111111111111,4.666666666666667,6.333333333333333,1.5555555555555556,1547.8953297042785,23.444444444444443,17.444444444444443,1.3333333333333333,0.8888888888888888,0.5555555555555556,1.2254346574459944,75.33333333333333,105.0,0.2857142857142857,1568.3059970017239,0.9,0.7142857142857142,-0.1111111111111111,0.2857142857142857,1,-0.1777777777777778,0.33757961783439505,1531.2192728725674,0.6,0.5,0.6297169811320755,0.0,0.42857142857142855,0.7272727272727273,0.7222222222222222,9,0.7777777777777778,0,1.6125941136208084,-2.1111111111111107,1.333333333333333,1.666666666666667,1.4444444444444444,-38.7299438933826,-7.444444444444443,16.555555555555557,-0.33333333333333326,0.11111111111111116,1.4444444444444444,0.7745653425540056,-69.33333333333333,-63,-0.2857142857142857,-83.8840132699163,-0.8,-0.7142857142857142,-1.8888888888888888,-0.2857142857142857,0,0.1777777777777778,-0.33757961783439505,-22.053887061671503,-0.6,-0.07894736842105265,-0.07127542269051701,1.0,-0.42857142857142855,-0.4772727272727273,-0.2222222222222222,-8,-0.7777777777777778,0
Paul Daley,Dustin Hazelett,1,UFC 108: Evans vs Silva,2010-01-02,2010,26.863791923340177,3.6666666666666665,4.666666666666667,3.5,1.8333333333333333,1612.373022710175,18.0,10.5,0.0,0.16666666666666666,0.8333333333333334,0.0,-3.3333333333333335,105.0,0.0,1564.8080221727753,0.46153846153846156,1.0,0.6666666666666666,1.0,0,-0.033333333333333326,-0.23809523809523814,1531.1631525776315,0.8,0.5294117647058824,0.6701570680628273,0.0,0.0,0.25,0.6428571428571428,6,0.8333333333333334,3,23.679671457905545,2.142857142857143,1.4285714285714286,4.142857142857143,1.5714285714285714,1552.1548654363326,15.857142857142858,14.142857142857142,1.8571428571428572,0.2857142857142857,1.1428571428571428,0.6380414797955021,-98.57142857142856,413.0,0.2,1550.8770186503311,0.5384615384615384,0.8,-0.14285714285714285,0.0,0,0.08571428571428574,0.7205387205387206,1525.349748182949,0.8,0.4095940959409594,0.5330188679245282,0.0,0.8,1.0,0.33333333333333337,7,0.7142857142857143,2,3.1841204654346313,1.5238095238095237,3.238095238095238,-0.6428571428571432,0.26190476190476186,60.21815727384251,2.1428571428571423,-3.6428571428571423,-1.8571428571428572,-0.11904761904761904,-0.3095238095238094,-0.6380414797955021,95.23809523809523,-308,-0.2,13.931003522444144,-0.07692307692307687,0.19999999999999996,0.8095238095238095,1.0,0,-0.11904761904761907,-0.9586339586339587,5.813404394682493,0.0,0.11981766876492295,0.13713820013829903,0.0,-0.8,-0.75,0.3095238095238094,-1,0.11904761904761907,1
Duane Ludwig,Jim Miller,0,UFC 108: Evans vs Silva,2010-01-02,2010,31.41409993155373,10.3,7.6,3.6,0.9,1530.03513267882,21.4,12.6,0.1,0.2,1.4,0.8050637229417272,-48.6,197.0,0.4,1504.6212026778885,0.6666666666666666,0.6,0.09999999999999998,0.6,1,0.09999999999999998,-0.5502645502645502,1497.693670021424,0.6,0.5417721518987342,0.5743243243243243,0.0,0.0,0.3333333333333333,0.4814814814814815,10,0.5,0,26.34360027378508,4.6,6.0,12.8,5.8,1563.4505217921194,33.6,18.0,2.0,3.0,0.4,0.0,375.4,105.0,0.5,1546.864653488316,0.3333333333333333,0.5,0.2,0.25,0,0.0,0.16666666666666674,1514.8728790344296,0.8,0.3792325056433409,0.6678966789667897,1.0,0.25,0.5357142857142857,0.6,5,0.8,2,5.07049965776865,5.700000000000001,1.5999999999999996,-9.200000000000001,-4.8999999999999995,-33.4153891132994,-12.200000000000003,-5.4,-1.9,-2.8,0.9999999999999999,0.8050637229417272,-424.0,92,-0.09999999999999998,-42.243450810427476,0.3333333333333333,0.09999999999999998,-0.10000000000000003,0.35,1,0.09999999999999998,-0.716931216931217,-17.179209013005675,-0.20000000000000007,0.1625396462553933,-0.09357235464246538,-1.0,-0.25,-0.20238095238095238,-0.11851851851851847,5,-0.30000000000000004,-2
Thiago Silva,Rashad Evans,0,UFC 108: Evans vs Silva,2010-01-02,2010,27.140314852840522,3.9166666666666665,4.833333333333333,5.333333333333333,1.4166666666666667,1686.6344371815887,16.0,9.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.8695631970958634,0.75,126.0,0.0,1642.7812966136587,0.48,1.0,-0.08333333333333334,0.9090909090909091,0,-0.11666666666666659,0.04504504504504503,1560.9732976270666,0.8,0.5501432664756447,0.6145833333333333,0.0,0.09090909090909091,0.3333333333333333,0.7666666666666666,12,0.9166666666666666,1,30.272416153319643,2.8461538461538463,4.769230769230769,7.3076923076923075,1.5384615384615385,1628.0347567226008,22.846153846153847,22.846153846153847,0.0,3.3076923076923075,0.7692307692307693,1.0237807123269858,139.15384615384613,224.0,0.5454545454545454,1645.4283717923913,0.52,0.45454545454545453,0.07692307692307693,0.45454545454545453,1,-0.24615384615384617,0.28395061728395055,1623.842446690376,0.6,0.3933774834437086,0.6443113772455089,0.0,0.0,0.589041095890411,0.6428571428571428,13,0.8461538461538461,0,-3.132101300479121,1.0705128205128203,0.06410256410256387,-1.9743589743589745,-0.1217948717948718,58.599680458987905,-6.846153846153847,-13.596153846153847,0.3333333333333333,-2.891025641025641,-0.1858974358974359,-0.15421751523112237,-138.40384615384613,-98,-0.5454545454545454,-2.6470751787326208,-0.040000000000000036,0.5454545454545454,-0.16025641025641027,0.45454545454545453,-1,0.12948717948717958,-0.23890557223890552,-62.86914906330935,0.20000000000000007,0.1567657830319361,-0.02972804391217565,0.0,0.09090909090909091,-0.25570776255707767,0.12380952380952381,-1,0.07051282051282048,1
Ryan Jensen,Mark Munoz,0,UFC 108: Evans vs Silva,2010-01-02,2010,32.284736481861735,0.8,0.8,6.8,1.4,1497.556497462468,12.4,7.4,0.4,0.6,1.4,0.9740790487056377,-1.4000000000000057,108.0,0.0,1457.7910229895274,0.5555555555555556,1.0,-0.4,0.0,0,0.0,0.08108108108108092,1494.717316201639,0.2,0.4189189189189189,0.5432098765432098,0.0,1.0,1.0,0.2222222222222222,5,0.2,1,31.89596167008898,3.75,6.5,11.25,2.25,1549.8781613151348,25.25,16.0,0.5,0.75,0.75,1.0669595575255952,48.5,126.0,0.3333333333333333,1531.412114545033,0.4444444444444444,0.6666666666666666,-0.25,0.6666666666666666,0,0.0,0.27083333333333326,1512.6536170271643,0.75,0.520618556701031,0.5704697986577181,0.0,0.0,0.14285714285714285,0.5714285714285714,4,0.75,1,0.3887748117727554,-2.95,-5.7,-4.45,-0.8500000000000001,-52.32166385266669,-12.85,-8.6,-0.09999999999999998,-0.15000000000000002,0.6499999999999999,-0.09288050881995757,-49.900000000000006,-18,-0.3333333333333333,-73.6210915555057,0.11111111111111116,0.33333333333333337,-0.15000000000000002,-0.6666666666666666,0,0.0,-0.18975225225225234,-17.936300825525223,-0.55,-0.10169963778211205,-0.027259922114508228,0.0,1.0,0.8571428571428572,-0.3492063492063492,1,-0.55,0
Mike Pyle,Jake Ellenberger,0,UFC 108: Evans vs Silva,2010-01-02,2010,34.29158110882957,3.4285714285714284,2.142857142857143,7.142857142857143,2.0,1573.4024860067864,15.714285714285714,11.142857142857142,0.8571428571428571,1.0,0.8571428571428571,0.0,24.0,108.0,0.2,1545.5197295468909,0.875,0.8,0.0,0.0,0,-0.11428571428571432,-0.042735042735042694,1527.2418584012928,0.6,0.5116279069767442,0.6231884057971014,0.0,0.8,0.3181818181818182,0.4545454545454546,7,0.7142857142857143,1,24.76659822039699,3.0,5.0,12.0,2.0,1547.1814282107507,28.0,27.0,3.0,3.0,1.0,0.0,168.0,108.0,0.0,1486.159526469745,0.125,0.0,2.0,0.0,1,0.0,0.0,1547.1814282107507,0.0,0.4745762711864407,0.6142857142857143,0.0,0.0,0.75,0.5,1,0.0,0,9.524982888432579,0.4285714285714284,-2.857142857142857,-4.857142857142857,0.0,26.221057796035666,-12.285714285714286,-15.857142857142858,-2.142857142857143,-2.0,-0.1428571428571429,0.0,-144.0,0,0.2,59.3602030771458,0.75,0.8,-2.0,0.0,-1,-0.11428571428571432,-0.042735042735042694,-19.939569809457907,0.6,0.037051635790303517,0.008902691511387117,0.0,0.8,-0.4318181818181818,-0.045454545454545414,6,0.7142857142857143,1
Joe Lauzon,Sam Stout,0,UFC 108: Evans vs Silva,2010-01-02,2010,25.61533196440794,0.8333333333333334,1.6666666666666667,5.333333333333333,0.0,1575.2641896296052,9.5,12.5,2.5,1.6666666666666667,0.5,0.5219952591451333,38.500000000000014,329.0,0.0,1563.595726034198,0.46153846153846156,1.0,0.16666666666666666,0.4,0,-0.033333333333333326,0.8133333333333335,1518.404856377802,0.8,0.5089285714285714,0.5967741935483871,0.0,0.6,0.7142857142857143,0.4,6,0.8333333333333334,2,25.694729637234772,14.428571428571429,7.142857142857143,3.4285714285714284,11.0,1512.3364713630078,48.0,45.857142857142854,0.0,0.14285714285714285,2.0,0.0,-79.85714285714288,259.0,1.0,1490.432890359624,0.5384615384615384,0.0,0.14285714285714285,0.0,0,-0.028571428571428525,0.12668743509865,1509.4233405929158,0.4,0.2688,0.6160287081339713,0.0,0.0,0.5,0.7846153846153846,7,0.42857142857142855,1,-0.07939767282683263,-13.595238095238095,-5.476190476190476,1.9047619047619047,-11.0,62.92771826659737,-38.5,-33.357142857142854,2.5,1.523809523809524,-1.5,0.5219952591451333,118.35714285714289,70,-1.0,73.1628356745739,-0.07692307692307687,1.0,0.023809523809523808,0.4,0,-0.0047619047619048005,0.6866458982346835,8.981515784886142,0.4,0.2401285714285714,-0.019254514585584137,0.0,0.6,0.2142857142857143,-0.3846153846153846,-1,0.4047619047619048,1
Charlie Valencia,Akitoshi Tamura,1,WEC 46: Varner vs. Henderson,2010-01-10,2010,35.19507186858316,6.0,4.714285714285714,4.571428571428571,2.5714285714285716,1484.524091914478,23.142857142857142,22.714285714285715,0.42857142857142855,1.0,0.42857142857142855,0.7235599738241552,-13.0,92.0,0.5,1514.8081617689427,0.7777777777777778,0.5,0.0,0.25,0,0.02857142857142858,0.8197064989517819,1494.0617165073913,0.6,0.3584070796460177,0.7984790874524714,0.0,0.25,0.5384615384615384,0.75,7,0.5714285714285714,2,29.61259411362081,38.0,20.5,0.0,18.5,1500.0,69.0,22.5,0.5,0.0,1.5,0.0,-401.0,280.0,1.0,1501.5002098148946,0.2222222222222222,0.0,0.0,0.0,0,0.0,0.0,1508.3363075287234,0.5,0.549800796812749,0.8519736842105263,0.0,0.0,0.0,0.25,2,0.5,1,5.582477754962355,-32.0,-15.785714285714285,4.571428571428571,-15.928571428571429,-15.47590808552195,-45.85714285714286,0.2142857142857153,-0.07142857142857145,1.0,-1.0714285714285714,0.7235599738241552,388.0,-188,-0.5,13.307951954048121,0.5555555555555556,0.5,0.0,0.25,0,0.02857142857142858,0.8197064989517819,-14.274591021332071,0.09999999999999998,-0.19139371716673126,-0.0534945967580549,0.0,0.25,0.5384615384615384,0.5,5,0.0714285714285714,1
